variable,question,label,bank,section,touchpoint,subgroup,role,scale_max,include,n_terisi,ada_di_data
F1B,Ke depannya saya pasti akan tetap menggunakan layanan dari bank…(kompetitor),Ke depannya saya pasti akan tetap menggunakan layanan dari …,Kompetitor,Ringkasan,,KPI Utama,KPI,6,1,546,Ya
G1C,NPS bank kompetitor,NPS bank kompetitor,Kompetitor,Ringkasan,,KPI Utama,KPI,10,1,546,Ya
E1B,Tingkat Kepuasan terhadap Bank kompetitor,Tingkat Kepuasan terhadap Bank kompetitor,Kompetitor,Ringkasan,,KPI Utama,KPI,6,1,546,Ya
F1A,Ke depannya saya pasti akan tetap menggunakan layanan dari Bank XYZ,Ke depannya saya pasti akan tetap menggunakan layanan dari …,XYZ,Ringkasan,,KPI Utama,KPI,6,1,1730,Ya
G1A,NPS Bank XYZ,NPS Bank XYZ,XYZ,Ringkasan,,KPI Utama,KPI,10,1,1730,Ya
E1A,Tingkat Kepuasan terhadap XYZ,Tingkat Kepuasan terhadap XYZ,XYZ,Ringkasan,,KPI Utama,KPI,6,1,1730,Ya
T_C1B_63,Bank swasta terbesar di Indonesia - kompetitor,Bank swasta terbesar di Indonesia,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,529,Ya
T_C1B_6,Bank yang digunakan banyak orang - kompetitor,Bank yang digunakan banyak orang,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,542,Ya
T_C1B_60,Bank yang dimiliki oleh negara - kompetitor,Bank yang dimiliki oleh negara,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,533,Ya
T_C1B_36,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - kompetitor,Bank yang membuat saya merasa bangga karena produk/layanan/…,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,543,Ya
T_C1B_42,Bank yang membuat saya merasa prestigious/bergengsi - kompetitor,Bank yang membuat saya merasa prestigious/bergengsi,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,544,Ya
T_C1B_3,Bank yang terkenal/terkemuka - kompetitor,Bank yang terkenal/terkemuka,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,544,Ya
T_C1B_62,Bank swasta terbesar di Indonesia - XYZ,Bank swasta terbesar di Indonesia,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1688,Ya
T_C1B_5,Bank yang digunakan banyak orang - XYZ,Bank yang digunakan banyak orang,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1728,Ya
T_C1B_59,Bank yang dimiliki oleh negara - XYZ,Bank yang dimiliki oleh negara,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1720,Ya
T_C1B_35,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - XYZ,Bank yang membuat saya merasa bangga karena produk/layanan/…,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1722,Ya
T_C1B_41,Bank yang membuat saya merasa prestigious/bergengsi - XYZ,Bank yang membuat saya merasa prestigious/bergengsi,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1726,Ya
T_C1B_2,Bank yang terkenal/terkemuka - XYZ,Bank yang terkenal/terkemuka,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1728,Ya
T_C1B_51,Bank yang memberikan banyak kemudahan - kompetitor,Bank yang memberikan banyak kemudahan,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,543,Ya
T_C1B_45,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun - kompetitor,Bank yang memberikan kemudahan untuk bertransaksi dimanapun…,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,545,Ya
T_C1B_15,Bank yang memiliki banyak ATM - kompetitor,Bank yang memiliki banyak ATM,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,542,Ya
T_C1B_18,Bank yang memiliki banyak kantor cabang - kompetitor,Bank yang memiliki banyak kantor cabang,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,545,Ya
T_C1B_48,Bank yang mempermudah bisnis saya - kompetitor,Bank yang mempermudah bisnis saya,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,543,Ya
T_C1B_57,Bank yang selalu menggunakan teknologi terbaru - kompetitor,Bank yang selalu menggunakan teknologi terbaru,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,542,Ya
T_C1B_69,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap - kompetitor","Memiliki fitur transaksi di e-channel lengkap (ATM, mobile …",Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,544,Ya
T_C1B_30,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran - kompetitor","Menyediakan banyak channel (call center, sms, email, dsb) u…",Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,543,Ya
T_C1B_27,Menyediakan layanan online terkait dengan informasi produk - kompetitor,Menyediakan layanan online terkait dengan informasi produk,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,544,Ya
T_C1B_50,Bank yang memberikan banyak kemudahan - XYZ,Bank yang memberikan banyak kemudahan,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1727,Ya
T_C1B_44,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun - XYZ,Bank yang memberikan kemudahan untuk bertransaksi dimanapun…,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1729,Ya
T_C1B_14,Bank yang memiliki banyak ATM - XYZ,Bank yang memiliki banyak ATM,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1722,Ya
T_C1B_17,Bank yang memiliki banyak kantor cabang - XYZ,Bank yang memiliki banyak kantor cabang,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1724,Ya
T_C1B_47,Bank yang mempermudah bisnis saya - XYZ,Bank yang mempermudah bisnis saya,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1726,Ya
T_C1B_56,Bank yang selalu menggunakan teknologi terbaru - XYZ,Bank yang selalu menggunakan teknologi terbaru,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1728,Ya
T_C1B_68,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap - XYZ","Memiliki fitur transaksi di e-channel lengkap (ATM, mobile …",XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1729,Ya
T_C1B_29,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran - XYZ","Menyediakan banyak channel (call center, sms, email, dsb) u…",XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1727,Ya
T_C1B_26,Menyediakan layanan online terkait dengan informasi produk - XYZ,Menyediakan layanan online terkait dengan informasi produk,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1728,Ya
T_C1B_9,Bank yang membuat saya merasa aman - kompetitor,Bank yang membuat saya merasa aman,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,544,Ya
T_C1B_12,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini - kompetitor,Bank yang membuat saya merasa dihargai menjadi nasabah bank…,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,543,Ya
T_C1B_39,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya - kompetitor,Bank yang membuat saya merasa percaya diri dan dapat mengon…,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,542,Ya
T_C1B_54,Bank yang memiliki kinerja bisnis yang baik - kompetitor,Bank yang memiliki kinerja bisnis yang baik,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,542,Ya
T_C1B_21,Bank yang memiliki reputasi yang baik - kompetitor,Bank yang memiliki reputasi yang baik,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,544,Ya
T_C1B_8,Bank yang membuat saya merasa aman - XYZ,Bank yang membuat saya merasa aman,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1728,Ya
T_C1B_11,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini - XYZ,Bank yang membuat saya merasa dihargai menjadi nasabah bank…,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1727,Ya
T_C1B_38,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya - XYZ,Bank yang membuat saya merasa percaya diri dan dapat mengon…,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1727,Ya
T_C1B_53,Bank yang memiliki kinerja bisnis yang baik - XYZ,Bank yang memiliki kinerja bisnis yang baik,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1728,Ya
T_C1B_20,Bank yang memiliki reputasi yang baik - XYZ,Bank yang memiliki reputasi yang baik,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1726,Ya
T_C1B_72,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - kompetitor,Bank dengan segala produk dan fasilitas yang membuat saya m…,Kompetitor,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,0,544,Ya
T_C1B_24,Bank yang menawarkan produk/layanan yang lengkap - kompetitor,Bank yang menawarkan produk/layanan yang lengkap,Kompetitor,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,0,545,Ya
T_C1B_33,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya - kompetitor,Bank yang menguntungkan untuk investasi/pengembangan kekaya…,Kompetitor,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,0,541,Ya
T_C1B_66,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards) - kompetitor",Memberikan keuntungan saat digunakan untuk bertransaksi (di…,Kompetitor,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,0,543,Ya
T_C1B_71,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - XYZ,Bank dengan segala produk dan fasilitas yang membuat saya m…,XYZ,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,1,1727,Ya
T_C1B_23,Bank yang menawarkan produk/layanan yang lengkap - XYZ,Bank yang menawarkan produk/layanan yang lengkap,XYZ,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,1,1727,Ya
T_C1B_32,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya - XYZ,Bank yang menguntungkan untuk investasi/pengembangan kekaya…,XYZ,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,1,1726,Ya
T_C1B_65,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards) - XYZ",Memberikan keuntungan saat digunakan untuk bertransaksi (di…,XYZ,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,1,1716,Ya
T_KC2_60,"Area ruang Tertata dengan baik, rapi dan teratur - kompetitor","Area ruang Tertata dengan baik, rapi dan teratur",Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,544,Ya
T_KC2_48,Diputarkan lagu lembut yang mengalun di area banking hall - kompetitor,Diputarkan lagu lembut yang mengalun di area banking hall,Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,533,Ya
T_KC2_24,Kebersihan pada area masuk cabang - kompetitor,Kebersihan pada area masuk cabang,Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,544,Ya
T_KC2_9,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat - kompetitor",Penampilan luar bangunan cabang dan papan nama cabang dalam…,Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,545,Ya
T_KC2_69,Tersedianya ruang laktasi - kompetitor,Tersedianya ruang laktasi,Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,532,Ya
T_KC1_20,"Area ruang Tertata dengan baik, rapi dan teratur","Area ruang Tertata dengan baik, rapi dan teratur",XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1730,Ya
T_KC2_59,"Area ruang Tertata dengan baik, rapi dan teratur - XYZ","Area ruang Tertata dengan baik, rapi dan teratur",XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1726,Ya
T_KC1_16,Diputarkan lagu lembut yang mengalun di area banking hall,Diputarkan lagu lembut yang mengalun di area banking hall,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1730,Ya
T_KC2_47,Diputarkan lagu lembut yang mengalun di area banking hall - XYZ,Diputarkan lagu lembut yang mengalun di area banking hall,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1653,Ya
T_KC1_8,Kebersihan pada area masuk cabang,Kebersihan pada area masuk cabang,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1730,Ya
T_KC2_23,Kebersihan pada area masuk cabang - XYZ,Kebersihan pada area masuk cabang,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1730,Ya
T_KC1_3,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat",Penampilan luar bangunan cabang dan papan nama cabang dalam…,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1730,Ya
T_KC2_8,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat - XYZ",Penampilan luar bangunan cabang dan papan nama cabang dalam…,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1728,Ya
T_KC1_23,Tersedianya ruang laktasi,Tersedianya ruang laktasi,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1730,Ya
T_KC2_68,Tersedianya ruang laktasi - XYZ,Tersedianya ruang laktasi,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1687,Ya
T_KC2_3,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya) - kompetitor,Kantor cabangnya banyak (dekat dengan tempat tinggal dan at…,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,544,Ya
T_KC2_6,Menyediakan layanan weekend banking - kompetitor,Menyediakan layanan weekend banking,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,536,Ya
T_KC2_63,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan - kompetitor,Tata letak di kantor cabang mudah untuk diikuti dan mudah u…,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,543,Ya
T_KC2_105,Tempat sampah tidak penuh - kompetitor,Tempat sampah tidak penuh,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,544,Ya
T_KC2_66,Terdapat tanaman hidup - kompetitor,Terdapat tanaman hidup,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,541,Ya
T_KC2_54,Terdapat tempat sampah dan mudah ditemukan - kompetitor,Terdapat tempat sampah dan mudah ditemukan,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,543,Ya
T_KC1_1,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya),Kantor cabangnya banyak (dekat dengan tempat tinggal dan at…,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1730,Ya
T_KC2_2,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya) - XYZ,Kantor cabangnya banyak (dekat dengan tempat tinggal dan at…,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1724,Ya
T_KC1_2,Menyediakan layanan weekend banking,Menyediakan layanan weekend banking,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1730,Ya
T_KC2_5,Menyediakan layanan weekend banking - XYZ,Menyediakan layanan weekend banking,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1696,Ya
T_KC1_21,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan,Tata letak di kantor cabang mudah untuk diikuti dan mudah u…,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1730,Ya
T_KC2_62,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan - XYZ,Tata letak di kantor cabang mudah untuk diikuti dan mudah u…,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1727,Ya
T_KC1_35,Tempat sampah tidak penuh,Tempat sampah tidak penuh,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1730,Ya
T_KC2_104,Tempat sampah tidak penuh - XYZ,Tempat sampah tidak penuh,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1728,Ya
T_KC1_22,Terdapat tanaman hidup,Terdapat tanaman hidup,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1730,Ya
T_KC2_65,Terdapat tanaman hidup - XYZ,Terdapat tanaman hidup,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1728,Ya
T_KC1_18,Terdapat tempat sampah dan mudah ditemukan,Terdapat tempat sampah dan mudah ditemukan,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1730,Ya
T_KC2_53,Terdapat tempat sampah dan mudah ditemukan - XYZ,Terdapat tempat sampah dan mudah ditemukan,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1729,Ya
T_KC2_108,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",Kompetitor,Branch Facilities,Branch Facilities,Overall,Overall,6,0,545,Ya
T_KC2_111,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",Kompetitor,Branch Facilities,Branch Facilities,Overall,Overall,6,0,545,Ya
T_KC2_114,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank….. - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",Kompetitor,Branch Facilities,Branch Facilities,Overall,Overall,6,0,544,Ya
T_KC2_117,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank….. - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",Kompetitor,Branch Facilities,Branch Facilities,Overall,Overall,6,0,540,Ya
T_KC2_107,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",XYZ,Branch Facilities,Branch Facilities,Overall,Overall,6,1,1730,Ya
T_KC2_110,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",XYZ,Branch Facilities,Branch Facilities,Overall,Overall,6,1,1729,Ya
T_KC2_113,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank….. - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",XYZ,Branch Facilities,Branch Facilities,Overall,Overall,6,1,1728,Ya
T_KC2_116,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank….. - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",XYZ,Branch Facilities,Branch Facilities,Overall,Overall,6,1,1724,Ya
T_KC2_15,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - kompetitor,Ada petugas Sekuriti yang mengatur di area parkir (khusus u…,Kompetitor,Branch Facilities,Branch Facilities,Parkir,Atribut,6,0,543,Ya
T_KC2_21,Kebersihan di area parkir - kompetitor,Kebersihan di area parkir,Kompetitor,Branch Facilities,Branch Facilities,Parkir,Atribut,6,0,545,Ya
T_KC2_18,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”) - kompetitor",Petunjuk arah parkir untuk nasabah yang jelas dan bersih (p…,Kompetitor,Branch Facilities,Branch Facilities,Parkir,Atribut,6,0,544,Ya
T_KC2_12,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - kompetitor,Tersedia area parkir (khusus untuk cabang di gedung sendiri…,Kompetitor,Branch Facilities,Branch Facilities,Parkir,Atribut,6,0,544,Ya
T_KC1_5,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir,Ada petugas Sekuriti yang mengatur di area parkir (khusus u…,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1730,Ya
T_KC2_14,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - XYZ,Ada petugas Sekuriti yang mengatur di area parkir (khusus u…,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1717,Ya
T_KC1_7,Kebersihan di area parkir,Kebersihan di area parkir,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1730,Ya
T_KC2_20,Kebersihan di area parkir - XYZ,Kebersihan di area parkir,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1727,Ya
T_KC1_6,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti â€œarea parkir mobilâ€, â€œarea parkir motorâ€",Petunjuk arah parkir untuk nasabah yang jelas dan bersih (p…,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1730,Ya
T_KC2_17,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”) - XYZ",Petunjuk arah parkir untuk nasabah yang jelas dan bersih (p…,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1727,Ya
T_KC1_4,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir,Tersedia area parkir (khusus untuk cabang di gedung sendiri…,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1730,Ya
T_KC2_11,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - XYZ,Tersedia area parkir (khusus untuk cabang di gedung sendiri…,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1727,Ya
T_KC2_45,Area ruang tunggunya wangi - kompetitor,Area ruang tunggunya wangi,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya
T_KC2_51,Banking hall/area ruang tunggunya bersih - kompetitor,Banking hall/area ruang tunggunya bersih,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya
T_KC2_39,Disediakan Wifi gratis di ruang tunggu - kompetitor,Disediakan Wifi gratis di ruang tunggu,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,543,Ya
T_KC2_27,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll) - kompetitor",Kebersihan dan kenyamanan area Banking Hall (kursi ruang tu…,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya
T_KC2_33,Pendingin ruangan di ruang tunggu sejuk - kompetitor,Pendingin ruangan di ruang tunggu sejuk,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya
T_KC2_36,Ruang tunggu nyaman - kompetitor,Ruang tunggu nyaman,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,544,Ya
T_KC2_42,Tersedia TV di ruang tunggu - kompetitor,Tersedia TV di ruang tunggu,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,544,Ya
T_KC2_30,Tersedia tempat duduk yang cukup di ruang tunggu - kompetitor,Tersedia tempat duduk yang cukup di ruang tunggu,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya
T_KC1_15,Area ruang tunggunya wangi,Area ruang tunggunya wangi,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1730,Ya
