variable,question,label,bank,section,touchpoint,subgroup,role,scale_max,include,n_terisi,ada_di_data
T_CS3_53,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan - XYZ,CSnya mengucapkan salam saat menyambut dan mengakhiri layan…,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1046,Ya
T_CS2_16,Menunjukkan keinginan untuk membantu nasabah,Menunjukkan keinginan untuk membantu nasabah,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1046,Ya
T_CS3_47,Menunjukkan keinginan untuk membantu nasabah - XYZ,Menunjukkan keinginan untuk membantu nasabah,XYZ,Service Experience,Customer Service,Sikap & Keramahan,Atribut,6,1,1046,Ya
T_TL3_9,Layanan yang diberikan teller cepat - kompetitor,Layanan yang diberikan teller cepat,Kompetitor,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,0,347,Ya
T_TL3_6,Sistem antrian yang dilengkapi dengan nomor antrian - kompetitor,Sistem antrian yang dilengkapi dengan nomor antrian,Kompetitor,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,0,347,Ya
T_TL3_3,Waktu antrian di Teller cepat - kompetitor,Waktu antrian di Teller cepat,Kompetitor,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,0,347,Ya
T_TL2_3,Layanan yang diberikan teller cepat,Layanan yang diberikan teller cepat,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1069,Ya
T_TL3_8,Layanan yang diberikan teller cepat - XYZ,Layanan yang diberikan teller cepat,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1066,Ya
T_TL2_2,Sistem antrian yang dilengkapi dengan nomor antrian,Sistem antrian yang dilengkapi dengan nomor antrian,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1069,Ya
T_TL3_5,Sistem antrian yang dilengkapi dengan nomor antrian - XYZ,Sistem antrian yang dilengkapi dengan nomor antrian,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1068,Ya
T_TL2_1,Waktu antrian di Teller cepat,Waktu antrian di Teller cepat,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1069,Ya
T_TL3_2,Waktu antrian di Teller cepat - XYZ,Waktu antrian di Teller cepat,XYZ,Service Experience,Teller,Kecepatan & Ketanggapan,Atribut,6,1,1068,Ya
T_TL3_18,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi) - kompetitor,Akurat dalam melakukan transaksi (Tidak salah dalam melakuk…,Kompetitor,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,0,348,Ya
T_TL3_24,Teller memiliki pengetahuan yang memadai - kompetitor,Teller memiliki pengetahuan yang memadai,Kompetitor,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,0,348,Ya
T_TL3_57,Terdapat informasi/signage transaksi di meja kerja teller - kompetitor,Terdapat informasi/signage transaksi di meja kerja teller,Kompetitor,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,0,344,Ya
T_TL2_6,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi),Akurat dalam melakukan transaksi (Tidak salah dalam melakuk…,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL3_17,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi) - XYZ,Akurat dalam melakukan transaksi (Tidak salah dalam melakuk…,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1068,Ya
T_TL2_8,Teller memiliki pengetahuan yang memadai,Teller memiliki pengetahuan yang memadai,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL3_23,Teller memiliki pengetahuan yang memadai - XYZ,Teller memiliki pengetahuan yang memadai,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL2_19,Terdapat informasi/signage transaksi di meja kerja teller,Terdapat informasi/signage transaksi di meja kerja teller,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL3_56,Terdapat informasi/signage transaksi di meja kerja teller - XYZ,Terdapat informasi/signage transaksi di meja kerja teller,XYZ,Service Experience,Teller,Kompetensi & Solusi,Atribut,6,1,1069,Ya
T_TL3_60,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TELLER bank…? - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",Kompetitor,Service Experience,Teller,Overall,Overall,6,0,347,Ya
T_TL3_59,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TELLER bank…? - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",XYZ,Service Experience,Teller,Overall,Overall,6,1,1069,Ya
T_TL3_12,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong) - kompetitor,Jumlah teller di kantor cabang mencukupi pada saat jam sibu…,Kompetitor,Service Experience,Teller,Pelayanan Umum,Atribut,6,0,348,Ya
T_TL3_21,Kehandalan sistem komputer untuk Teller (online) - kompetitor,Kehandalan sistem komputer untuk Teller (online),Kompetitor,Service Experience,Teller,Pelayanan Umum,Atribut,6,0,346,Ya
T_TL3_45,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - kompetitor,Memberikan pelayanan dengan pendekatan personal (menyebut n…,Kompetitor,Service Experience,Teller,Pelayanan Umum,Atribut,6,0,347,Ya
T_TL3_27,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - kompetitor",Teller memberikan edukasi tentang penggunaan e-channel (ATM…,Kompetitor,Service Experience,Teller,Pelayanan Umum,Atribut,6,0,346,Ya
T_TL3_42,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah - kompetitor,Teller memperkenalkan diri/menyebut namanya saat menyambut …,Kompetitor,Service Experience,Teller,Pelayanan Umum,Atribut,6,0,348,Ya
T_TL3_48,Tellernya selalu melakukan validas setelah selesai transaksi di Teller - kompetitor,Tellernya selalu melakukan validas setelah selesai transaks…,Kompetitor,Service Experience,Teller,Pelayanan Umum,Atribut,6,0,348,Ya
T_TL3_36,Tellernya tidak mengobrol dengan rekannya / petugas bank lain - kompetitor,Tellernya tidak mengobrol dengan rekannya / petugas bank la…,Kompetitor,Service Experience,Teller,Pelayanan Umum,Atribut,6,0,347,Ya
T_TL3_54,Terdapat papan nama Teller di area meja kerja Teller - kompetitor,Terdapat papan nama Teller di area meja kerja Teller,Kompetitor,Service Experience,Teller,Pelayanan Umum,Atribut,6,0,347,Ya
T_TL2_4,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong),Jumlah teller di kantor cabang mencukupi pada saat jam sibu…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL3_11,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong) - XYZ,Jumlah teller di kantor cabang mencukupi pada saat jam sibu…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1068,Ya
T_TL2_7,Kehandalan sistem komputer untuk Teller (online),Kehandalan sistem komputer untuk Teller (online),XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL3_20,Kehandalan sistem komputer untuk Teller (online) - XYZ,Kehandalan sistem komputer untuk Teller (online),XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1068,Ya
T_TL2_15,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah),Memberikan pelayanan dengan pendekatan personal (menyebut n…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL3_44,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - XYZ,Memberikan pelayanan dengan pendekatan personal (menyebut n…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL2_9,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll)",Teller memberikan edukasi tentang penggunaan e-channel (ATM…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL3_26,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - XYZ",Teller memberikan edukasi tentang penggunaan e-channel (ATM…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL2_14,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah,Teller memperkenalkan diri/menyebut namanya saat menyambut …,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL3_41,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah - XYZ,Teller memperkenalkan diri/menyebut namanya saat menyambut …,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1068,Ya
T_TL2_16,Tellernya selalu melakukan validas setelah selesai transaksi di Teller,Tellernya selalu melakukan validas setelah selesai transaks…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL3_47,Tellernya selalu melakukan validas setelah selesai transaksi di Teller - XYZ,Tellernya selalu melakukan validas setelah selesai transaks…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL2_12,Tellernya tidak mengobrol dengan rekannya / petugas bank lain,Tellernya tidak mengobrol dengan rekannya / petugas bank la…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL3_35,Tellernya tidak mengobrol dengan rekannya / petugas bank lain - XYZ,Tellernya tidak mengobrol dengan rekannya / petugas bank la…,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL2_18,Terdapat papan nama Teller di area meja kerja Teller,Terdapat papan nama Teller di area meja kerja Teller,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1069,Ya
T_TL3_53,Terdapat papan nama Teller di area meja kerja Teller - XYZ,Terdapat papan nama Teller di area meja kerja Teller,XYZ,Service Experience,Teller,Pelayanan Umum,Atribut,6,1,1068,Ya
T_TL3_15,Tellernya berpenampilan rapi dan menarik - kompetitor,Tellernya berpenampilan rapi dan menarik,Kompetitor,Service Experience,Teller,Penampilan,Atribut,6,0,347,Ya
T_TL2_5,Tellernya berpenampilan rapi dan menarik,Tellernya berpenampilan rapi dan menarik,XYZ,Service Experience,Teller,Penampilan,Atribut,6,1,1069,Ya
T_TL3_14,Tellernya berpenampilan rapi dan menarik - XYZ,Tellernya berpenampilan rapi dan menarik,XYZ,Service Experience,Teller,Penampilan,Atribut,6,1,1069,Ya
T_TL3_51,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah) - kompetitor,Memberikan usaha lebih/extra effort untuk nasabahnya (memba…,Kompetitor,Service Experience,Teller,Sikap & Keramahan,Atribut,6,0,347,Ya
T_TL3_39,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu) - kompetitor,Menunjukkan keinginan untuk membantu nasabah (selalu menany…,Kompetitor,Service Experience,Teller,Sikap & Keramahan,Atribut,6,0,348,Ya
T_TL3_33,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan - kompetitor,Tellernya mengucapkan salam saat menyambut dan mengakhiri l…,Kompetitor,Service Experience,Teller,Sikap & Keramahan,Atribut,6,0,347,Ya
T_TL3_30,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani) - kompetitor,Tellernya ramah selama melayani (tersenyum dan tidak jutek …,Kompetitor,Service Experience,Teller,Sikap & Keramahan,Atribut,6,0,347,Ya
T_TL2_17,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah),Memberikan usaha lebih/extra effort untuk nasabahnya (memba…,XYZ,Service Experience,Teller,Sikap & Keramahan,Atribut,6,1,1069,Ya
T_TL3_50,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah) - XYZ,Memberikan usaha lebih/extra effort untuk nasabahnya (memba…,XYZ,Service Experience,Teller,Sikap & Keramahan,Atribut,6,1,1069,Ya
T_TL2_13,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu),Menunjukkan keinginan untuk membantu nasabah (selalu menany…,XYZ,Service Experience,Teller,Sikap & Keramahan,Atribut,6,1,1069,Ya
T_TL3_38,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu) - XYZ,Menunjukkan keinginan untuk membantu nasabah (selalu menany…,XYZ,Service Experience,Teller,Sikap & Keramahan,Atribut,6,1,1069,Ya
T_TL2_11,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan,Tellernya mengucapkan salam saat menyambut dan mengakhiri l…,XYZ,Service Experience,Teller,Sikap & Keramahan,Atribut,6,1,1069,Ya
T_TL3_32,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan - XYZ,Tellernya mengucapkan salam saat menyambut dan mengakhiri l…,XYZ,Service Experience,Teller,Sikap & Keramahan,Atribut,6,1,1069,Ya
T_TL2_10,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani),Tellernya ramah selama melayani (tersenyum dan tidak jutek …,XYZ,Service Experience,Teller,Sikap & Keramahan,Atribut,6,1,1069,Ya
T_TL3_29,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani) - XYZ,Tellernya ramah selama melayani (tersenyum dan tidak jutek …,XYZ,Service Experience,Teller,Sikap & Keramahan,Atribut,6,1,1069,Ya
T_SC2_24,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi - kompetitor,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen …,Kompetitor,Service Experience,Security,Keamanan & Kesigapan,Atribut,6,0,544,Ya
T_SC1_8,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen …,XYZ,Service Experience,Security,Keamanan & Kesigapan,Atribut,6,1,1730,Ya
T_SC2_23,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi - XYZ,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen …,XYZ,Service Experience,Security,Keamanan & Kesigapan,Atribut,6,1,1728,Ya
T_SC2_30,Memberikan nomor antrian kepada nasabah - kompetitor,Memberikan nomor antrian kepada nasabah,Kompetitor,Service Experience,Security,Kecepatan & Ketanggapan,Atribut,6,0,544,Ya
T_SC2_33,Mengatur antrian nasabah - kompetitor,Mengatur antrian nasabah,Kompetitor,Service Experience,Security,Kecepatan & Ketanggapan,Atribut,6,0,545,Ya
T_SC1_10,Memberikan nomor antrian kepada nasabah,Memberikan nomor antrian kepada nasabah,XYZ,Service Experience,Security,Kecepatan & Ketanggapan,Atribut,6,1,1730,Ya
T_SC2_29,Memberikan nomor antrian kepada nasabah - XYZ,Memberikan nomor antrian kepada nasabah,XYZ,Service Experience,Security,Kecepatan & Ketanggapan,Atribut,6,1,1726,Ya
T_SC1_11,Mengatur antrian nasabah,Mengatur antrian nasabah,XYZ,Service Experience,Security,Kecepatan & Ketanggapan,Atribut,6,1,1730,Ya
T_SC2_32,Mengatur antrian nasabah - XYZ,Mengatur antrian nasabah,XYZ,Service Experience,Security,Kecepatan & Ketanggapan,Atribut,6,1,1728,Ya
T_SC2_27,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah - kompetitor,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan…,Kompetitor,Service Experience,Security,Kompetensi & Solusi,Atribut,6,0,545,Ya
T_SC1_9,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan…,XYZ,Service Experience,Security,Kompetensi & Solusi,Atribut,6,1,1730,Ya
T_SC2_26,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah - XYZ,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan…,XYZ,Service Experience,Security,Kompetensi & Solusi,Atribut,6,1,1726,Ya
T_SC2_48,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap SEKURITI Bank…? - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",Kompetitor,Service Experience,Security,Overall,Overall,6,0,545,Ya
T_SC2_47,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap SEKURITI Bank…? - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian k…",XYZ,Service Experience,Security,Overall,Overall,6,1,1729,Ya
T_SC2_39,Jumlah sekuriti memadai - kompetitor,Jumlah sekuriti memadai,Kompetitor,Service Experience,Security,Pelayanan Umum,Atribut,6,0,545,Ya
T_SC2_45,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga - kompetitor,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga,Kompetitor,Service Experience,Security,Pelayanan Umum,Atribut,6,0,544,Ya
T_SC2_42,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP) - kompetitor,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/…,Kompetitor,Service Experience,Security,Pelayanan Umum,Atribut,6,0,539,Ya
T_SC2_21,Menawarkan bantuan saat nasabah datang - kompetitor,Menawarkan bantuan saat nasabah datang,Kompetitor,Service Experience,Security,Pelayanan Umum,Atribut,6,0,544,Ya
T_SC2_36,Mengucapkan terima kasih saat nasabah pulang - kompetitor,Mengucapkan terima kasih saat nasabah pulang,Kompetitor,Service Experience,Security,Pelayanan Umum,Atribut,6,0,545,Ya
T_SC1_13,Jumlah sekuriti memadai,Jumlah sekuriti memadai,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1730,Ya
T_SC2_38,Jumlah sekuriti memadai - XYZ,Jumlah sekuriti memadai,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1728,Ya
T_SC1_15,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1730,Ya
T_SC2_44,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga - XYZ,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1728,Ya
T_SC1_14,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP),Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/…,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1730,Ya
T_SC2_41,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP) - XYZ,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/…,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1687,Ya
T_SC1_7,Menawarkan bantuan saat nasabah datang,Menawarkan bantuan saat nasabah datang,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1730,Ya
T_SC2_20,Menawarkan bantuan saat nasabah datang - XYZ,Menawarkan bantuan saat nasabah datang,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1729,Ya
T_SC1_12,Mengucapkan terima kasih saat nasabah pulang,Mengucapkan terima kasih saat nasabah pulang,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1730,Ya
T_SC2_35,Mengucapkan terima kasih saat nasabah pulang - XYZ,Mengucapkan terima kasih saat nasabah pulang,XYZ,Service Experience,Security,Pelayanan Umum,Atribut,6,1,1730,Ya
T_SC2_9,Menggunakan seragam sekuriti yang lengkap - kompetitor,Menggunakan seragam sekuriti yang lengkap,Kompetitor,Service Experience,Security,Penampilan,Atribut,6,0,545,Ya
T_SC2_6,Penampilannya rapi - kompetitor,Penampilannya rapi,Kompetitor,Service Experience,Security,Penampilan,Atribut,6,0,544,Ya
T_SC2_3,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk) - kompetitor","Penampilannya sesuai dengan standar (tinggi, tegap, besar d…",Kompetitor,Service Experience,Security,Penampilan,Atribut,6,0,545,Ya
T_SC1_3,Menggunakan seragam sekuriti yang lengkap,Menggunakan seragam sekuriti yang lengkap,XYZ,Service Experience,Security,Penampilan,Atribut,6,1,1730,Ya
T_SC2_8,Menggunakan seragam sekuriti yang lengkap - XYZ,Menggunakan seragam sekuriti yang lengkap,XYZ,Service Experience,Security,Penampilan,Atribut,6,1,1730,Ya
T_SC1_2,Penampilannya rapi,Penampilannya rapi,XYZ,Service Experience,Security,Penampilan,Atribut,6,1,1730,Ya
T_SC2_5,Penampilannya rapi - XYZ,Penampilannya rapi,XYZ,Service Experience,Security,Penampilan,Atribut,6,1,1730,Ya
T_SC1_1,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk)","Penampilannya sesuai dengan standar (tinggi, tegap, besar d…",XYZ,Service Experience,Security,Penampilan,Atribut,6,1,1730,Ya
T_SC2_2,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk) - XYZ","Penampilannya sesuai dengan standar (tinggi, tegap, besar d…",XYZ,Service Experience,Security,Penampilan,Atribut,6,1,1728,Ya
T_SC2_15,Berperilaku sopan - kompetitor,Berperilaku sopan,Kompetitor,Service Experience,Security,Sikap & Keramahan,Atribut,6,0,545,Ya
T_SC2_18,Mengucapkan salam saat nasabah datang/pulang - kompetitor,Mengucapkan salam saat nasabah datang/pulang,Kompetitor,Service Experience,Security,Sikap & Keramahan,Atribut,6,0,545,Ya
T_SC2_12,Menyambut nasabah dengan ramah - kompetitor,Menyambut nasabah dengan ramah,Kompetitor,Service Experience,Security,Sikap & Keramahan,Atribut,6,0,545,Ya
T_SC1_5,Berperilaku sopan,Berperilaku sopan,XYZ,Service Experience,Security,Sikap & Keramahan,Atribut,6,1,1730,Ya
T_SC2_14,Berperilaku sopan - XYZ,Berperilaku sopan,XYZ,Service Experience,Security,Sikap & Keramahan,Atribut,6,1,1728,Ya
T_SC1_6,Mengucapkan salam saat nasabah datang/pulang,Mengucapkan salam saat nasabah datang/pulang,XYZ,Service Experience,Security,Sikap & Keramahan,Atribut,6,1,1730,Ya
T_SC2_17,Mengucapkan salam saat nasabah datang/pulang - XYZ,Mengucapkan salam saat nasabah datang/pulang,XYZ,Service Experience,Security,Sikap & Keramahan,Atribut,6,1,1728,Ya
T_SC1_4,Menyambut nasabah dengan ramah,Menyambut nasabah dengan ramah,XYZ,Service Experience,Security,Sikap & Keramahan,Atribut,6,1,1730,Ya
T_SC2_11,Menyambut nasabah dengan ramah - XYZ,Menyambut nasabah dengan ramah,XYZ,Service Experience,Security,Sikap & Keramahan,Atribut,6,1,1729,Ya
T_CA1_4,Cepat dalam memberikan layanan.1,Cepat dalam memberikan layanan.1,XYZ,Service Experience,Customer Advisor,Kecepatan & Ketanggapan,Atribut,6,1,72,Ya
T_CA2_4,Cepat dalam memberikan layanan.2,Cepat dalam memberikan layanan.2,XYZ,Service Experience,Customer Advisor,Kecepatan & Ketanggapan,Atribut,6,1,70,Ya
T_CA1_18,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah).1","Menginformasikan produk, promo, dan kebijakan terbaru kepad…",XYZ,Service Experience,Customer Advisor,Kecepatan & Ketanggapan,Atribut,6,1,72,Ya
T_CA2_18,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah).2","Menginformasikan produk, promo, dan kebijakan terbaru kepad…",XYZ,Service Experience,Customer Advisor,Kecepatan & Ketanggapan,Atribut,6,1,70,Ya
T_CA1_6,Waktu layanan oleh CA cepat,Waktu layanan oleh CA cepat,XYZ,Service Experience,Customer Advisor,Kecepatan & Ketanggapan,Atribut,6,1,72,Ya
T_CA2_6,Waktu layanan oleh CA cepat.1,Waktu layanan oleh CA cepat.1,XYZ,Service Experience,Customer Advisor,Kecepatan & Ketanggapan,Atribut,6,1,70,Ya
T_CA1_9,CA memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CA ketika menjelaskan produk kepada nasabah,CA memiliki pengetahuan dalam menjawab pertanyaan nasabah a…,XYZ,Service Experience,Customer Advisor,Kompetensi & Solusi,Atribut,6,1,72,Ya
T_CA2_9,CA memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CA ketika menjelaskan produk kepada nasabah.1,CA memiliki pengetahuan dalam menjawab pertanyaan nasabah a…,XYZ,Service Experience,Customer Advisor,Kompetensi & Solusi,Atribut,6,1,70,Ya
T_CA1_7,Dapat menangani berbagai macam masalah sesuai kebutuhan,Dapat menangani berbagai macam masalah sesuai kebutuhan,XYZ,Service Experience,Customer Advisor,Kompetensi & Solusi,Atribut,6,1,72,Ya
T_CA2_7,Dapat menangani berbagai macam masalah sesuai kebutuhan.1,Dapat menangani berbagai macam masalah sesuai kebutuhan.1,XYZ,Service Experience,Customer Advisor,Kompetensi & Solusi,Atribut,6,1,70,Ya
